id;username;productid;date;amount
2;rumle;0;26/11/2020 16.22.21;10
2;rumle;0;26/11/2020 16.23.07;10
3;rumle;0;26/11/2020 16.24.49;10
3;rumle;0;26/11/2020 16.24.55;1000
4;rumle;0;26/11/2020 16.26.23;1000
4;rumle;0;26/11/2020 16.26.33;1000
4;rumle;0;26/11/2020 16.27.32;1000
6;rumle;0;26/11/2020 16.27.32;1000
4;rumle;0;26/11/2020 16.27.46;1000
6;rumle;0;26/11/2020 16.27.46;1000
4;rumle;0;26/11/2020 16.27.52;1000
6;rumle;0;26/11/2020 16.27.52;1000
4;rumle;0;26/11/2020 16.28.04;1000
6;rumle;0;26/11/2020 16.28.04;100
4;rumle;0;26/11/2020 16.28.58;1000
6;rumle;0;26/11/2020 16.28.58;100
4;rumle;0;26/11/2020 16.29.30;1000
6;rumle;0;26/11/2020 16.29.30;100
4;rumle;0;26/11/2020 16.29.46;1000
6;rumle;0;26/11/2020 16.29.46;100
4;rumle;0;26/11/2020 16.29.48;1000
6;rumle;0;26/11/2020 16.29.48;100
4;rumle;0;26/11/2020 16.30.36;1000
6;rumle;0;26/11/2020 16.30.36;100
4;rumle;0;26/11/2020 16.31.23;1000
6;rumle;0;26/11/2020 16.31.23;100
4;rumle;0;26/11/2020 16.31.55;1000
6;rumle;0;26/11/2020 16.31.55;100
4;rumle;0;26/11/2020 16.32.21;1000
6;rumle;0;26/11/2020 16.32.21;100
4;rumle;0;26/11/2020 16.33.19;1000
6;rumle;0;26/11/2020 16.33.19;100
4;rumle;0;26/11/2020 16.34.12;1000
6;rumle;0;26/11/2020 16.34.12;100
4;rumle;0;26/11/2020 16.34.48;1000
6;rumle;0;26/11/2020 16.34.48;100
8;rumle;0;26/11/2020 16.34.48;1000
4;rumle;0;26/11/2020 16.35.00;1000
6;rumle;0;26/11/2020 16.35.00;100
4;rumle;0;26/11/2020 16.35.12;1000
6;rumle;0;26/11/2020 16.35.12;100
4;rumle;0;26/11/2020 16.40.06;1000
6;rumle;0;26/11/2020 16.40.06;100
4;rumle;0;26/11/2020 16.41.02;1000
6;rumle;0;26/11/2020 16.41.02;100
4;rumle;0;26/11/2020 16.41.05;1000
6;rumle;0;26/11/2020 16.41.05;100
4;rumle;0;26/11/2020 16.42.09;1000
6;rumle;0;26/11/2020 16.42.09;100
4;rumle;0;26/11/2020 16.43.32;1000
6;rumle;0;26/11/2020 16.43.32;100
4;rumle;0;26/11/2020 16.44.24;1000
6;rumle;0;26/11/2020 16.44.24;100
4;rumle;0;26/11/2020 16.44.33;1000
6;rumle;0;26/11/2020 16.44.33;100
4;rumle;0;26/11/2020 16.45.09;1000
6;rumle;0;26/11/2020 16.45.09;100
4;rumle;0;26/11/2020 16.45.22;1000
6;rumle;0;26/11/2020 16.45.22;100
4;rumle;0;26/11/2020 16.45.33;1000
6;rumle;0;26/11/2020 16.45.33;100
4;rumle;0;26/11/2020 16.45.51;1000
6;rumle;0;26/11/2020 16.45.51;100
4;rumle;0;26/11/2020 16.46.12;1000
6;rumle;0;26/11/2020 16.46.12;100
4;rumle;0;26/11/2020 16.46.41;1000
6;rumle;0;26/11/2020 16.46.41;100
4;rumle;0;26/11/2020 16.46.54;1000
6;rumle;0;26/11/2020 16.46.54;100
4;rumle;0;26/11/2020 16.47.00;1000
6;rumle;0;26/11/2020 16.47.00;100
4;rumle;0;26/11/2020 16.47.10;1000
6;rumle;0;26/11/2020 16.47.10;100
4;rumle;0;26/11/2020 16.47.25;1000
6;rumle;0;26/11/2020 16.47.25;100
4;rumle;0;26/11/2020 16.47.32;1000
6;rumle;0;26/11/2020 16.47.32;100
4;rumle;0;26/11/2020 16.49.06;1000
6;rumle;0;26/11/2020 16.49.06;100
4;rumle;0;26/11/2020 16.49.31;1000
6;rumle;0;26/11/2020 16.49.31;100
4;rumle;0;26/11/2020 16.49.34;1000
6;rumle;0;26/11/2020 16.49.34;100
4;rumle;0;26/11/2020 16.49.37;1000
6;rumle;0;26/11/2020 16.49.37;100
4;rumle;0;26/11/2020 16.49.42;1000
6;rumle;0;26/11/2020 16.49.42;100
3;rumle;0;26/11/2020 16.49.46;1000
5;rumle;0;26/11/2020 16.49.46;100
3;rumle;0;26/11/2020 16.51.47;1000
5;rumle;0;26/11/2020 16.51.47;100
3;rumle;0;26/11/2020 16.52.01;1000
5;rumle;0;26/11/2020 16.52.01;100
3;rumle;0;26/11/2020 16.52.05;1000
5;rumle;0;26/11/2020 16.52.05;100
3;rumle;0;26/11/2020 16.52.31;1000
5;rumle;0;26/11/2020 16.52.31;100
3;rumle;0;26/11/2020 16.52.58;1000
5;rumle;0;26/11/2020 16.52.58;100
3;rumle;0;26/11/2020 16.54.11;1000
5;rumle;0;26/11/2020 16.54.12;100
3;rumle;0;26/11/2020 16.54.32;1000
5;rumle;0;26/11/2020 16.54.32;100
3;rumle;0;26/11/2020 17.08.18;1000
5;rumle;0;26/11/2020 17.08.18;100
3;rumle;0;26/11/2020 17.11.10;1000
5;rumle;0;26/11/2020 17.11.10;100
